id,domain,question,option_a,option_b,option_c,option_d,answer,explanation,reference_url
1,インフラストラクチャ,Azure VM の SLA を 99.99% にするために最低限必要な構成はどれか？,単一 VM（Premium SSD）,可用性セット（2台以上）,可用性ゾーン（2ゾーン以上）,スケールセット（1台）,C,可用性ゾーンを 2 つ以上のゾーンにまたがって配置することで 99.99% SLA が保証される。可用性セットは 99.95%。,https://learn.microsoft.com/ja-jp/azure/virtual-machines/availability
2,インフラストラクチャ,オンプレミスと Azure を専用線で接続するサービスはどれか？,VPN Gateway,Azure ExpressRoute,Azure Bastion,Azure Firewall,B,Azure ExpressRoute はパブリックインターネットを経由せず、専用線でオンプレミスと Azure を接続するサービス。,https://learn.microsoft.com/ja-jp/azure/expressroute/expressroute-introduction
3,インフラストラクチャ,地理冗長ストレージ（GRS）の説明として正しいものはどれか？,同一リージョン内の 3 つのノードにレプリケートする,プライマリと別リージョンにもデータをレプリケートする,読み取りアクセスがセカンダリリージョンから可能になる,ゾーン冗長ストレージの別名である,B,GRS はプライマリリージョンに 3 コピー＋別リージョンに 3 コピーを保存する。読み取りアクセスは RA-GRS を使用する。,https://learn.microsoft.com/ja-jp/azure/storage/common/storage-redundancy
4,ID・ガバナンス・監視,Azure AD（Entra ID）の条件付きアクセスで制御できないものはどれか？,サインインの場所（IP アドレス）,デバイスのコンプライアンス状態,ユーザーのグループメンバーシップ,ストレージアカウントのアクセスキー,D,ストレージアカウントのアクセスキーは条件付きアクセスで制御できない。条件付きアクセスは認証フローに介入するポリシー。,https://learn.microsoft.com/ja-jp/azure/active-directory/conditional-access/overview
5,ビジネス継続性,開発・テスト環境のコストを削減する最も効果的な方法はどれか？,すべての VM を Standard_D8s_v3 に統一する,Azure Dev/Test サブスクリプションと自動シャットダウンを活用する,リソースをすべて East US にデプロイする,Azure Reservations を 3 年で購入する,B,Dev/Test サブスクリプションは割引料金、自動シャットダウンは夜間停止でコスト削減に効果的。Reservations は本番環境向け。,https://learn.microsoft.com/ja-jp/azure/cost-management-billing/manage/create-subscription
6,インフラストラクチャ,Azure SQL Database で RPO を最小化するために使用する機能はどれか？,読み取りスケールアウト,自動バックアップ（ポイントインタイムリストア）,アクティブ geo レプリケーション,エラスティックプール,C,アクティブ geo レプリケーションは別リージョンに同期レプリカを作成し、RPO（目標復旧時点）を秒単位に最小化する。,https://learn.microsoft.com/ja-jp/azure/azure-sql/database/active-geo-replication-overview
7,セキュリティ設計,Azure Key Vault のアクセス制御に使用しないものはどれか？,アクセスポリシー,Azure RBAC,マネージド ID,ネットワーク セキュリティ グループ（NSG）,D,NSG はネットワークレベルのアクセス制御。Key Vault のシークレット・キー・証明書へのアクセス制御にはアクセスポリシーまたは RBAC を使用する。,https://learn.microsoft.com/ja-jp/azure/key-vault/general/security-features
8,インフラストラクチャ,Azure Load Balancer（Standard）の特徴として正しいものはどれか？,グローバルな HTTP/S トラフィックの分散,レイヤー 4（TCP/UDP）での負荷分散,レイヤー 7 でのコンテンツベースルーティング,CDN 機能の統合,B,Azure Load Balancer Standard はレイヤー 4（TCP/UDP）の負荷分散サービス。レイヤー 7 は Application Gateway が担当する。,https://learn.microsoft.com/ja-jp/azure/load-balancer/load-balancer-overview
9,インフラストラクチャ,Azure Virtual Network（VNet）ピアリングの説明として正しいものはどれか？,VNet 間の通信はインターネットを経由する,ピアリングした VNet はグローバル展開が不可,ゲートウェイトランジットにより VPN 経由でオンプレと通信できる,ピアリングは無料でデータ転送料金が発生しない,C,ゲートウェイトランジットを使うと、ピア先の VPN Gateway 経由でオンプレとも通信できる。データ転送は課金対象。,https://learn.microsoft.com/ja-jp/azure/virtual-network/virtual-network-peering-overview
10,インフラストラクチャ,Azure Blob Storage のアクセス層で最もコストが低い層はどれか？,ホット層,クール層,コールド層,アーカイブ層,D,アーカイブ層はストレージコストが最も安いが、読み取りコストが高く、リハイドレートに数時間かかる。めったにアクセスしないデータに適する。,https://learn.microsoft.com/ja-jp/azure/storage/blobs/access-tiers-overview
