id,domain,question,option_a,option_b,option_c,option_d,answer,explanation,reference_url

1,インフラストラクチャ,AzureでIaaS仮想マシンの可用性を高めるために最も推奨される構成はどれか,可用性セットを使用する,1台のVMを高性能SKUにする,ディスクをPremiumにする,VMを手動でバックアップする,A,可用性セットは障害ドメインと更新ドメインを分離し可用性を高める,https://learn.microsoft.com/azure/virtual-machines/availability
2,インフラストラクチャ,VM Scale Setsを使用する主な利点はどれか,自動スケールと高可用性,バックアップの簡素化,セキュリティの向上,コスト管理のみ,A,VMSSはオートスケールと負荷分散を提供する,https://learn.microsoft.com/azure/virtual-machine-scale-sets/
3,インフラストラクチャ,Azure Load Balancerが提供する機能はどれか,レイヤー4負荷分散,SSL終端,WAF機能,URLベースルーティング,A,Load BalancerはL4(TCP/UDP)を提供する,https://learn.microsoft.com/azure/load-balancer/load-balancer-overview
4,インフラストラクチャ,グローバルなHTTPアプリケーションに最適なサービスはどれか,Azure Front Door,Azure Traffic Manager,Azure Load Balancer,Azure App Gateway,A,Front DoorはL7でグローバル分散に対応,https://learn.microsoft.com/azure/frontdoor/front-door-overview
5,インフラストラクチャ,AKSでノードの更新を安全に行う仕組みはどれか,ノードプール,Pod Security Policy,Azure Policy,NSG,A,ノードプールにより段階的更新が可能,https://learn.microsoft.com/azure/aks/use-multiple-node-pools
6,インフラストラクチャ,Azure Virtual Networkでアドレス空間を分割する単位はどれか,サブネット,NSG,ルートテーブル,VNet Peering,A,サブネットはIP範囲を分割する単位,https://learn.microsoft.com/azure/virtual-network/virtual-networks-overview
7,インフラストラクチャ,オンプレミスとAzureをプライベート接続するサービスはどれか,ExpressRoute,VPN Gateway,Azure Bastion,Load Balancer,A,ExpressRouteは専用線接続を提供,https://learn.microsoft.com/azure/expressroute/expressroute-introduction
8,インフラストラクチャ,Azure Bastionを使用する目的はどれか,VMへの安全なRDP/SSH,VMの自動スケール,ディスク暗号化,ログ分析,A,Bastionはブラウザ経由で安全に接続,https://learn.microsoft.com/azure/bastion/bastion-overview
9,インフラストラクチャ,可用性ゾーンを利用できるリージョンの特徴はどれか,データセンターが物理的に分離,常に3ゾーン固定,全リージョンで利用可能,バックアップ専用,A,可用性ゾーンは物理的に分離されたDC,https://learn.microsoft.com/azure/reliability/availability-zones
10,インフラストラクチャ,Azure App Serviceでスケールアウトに使う仕組みはどれか,インスタンス数の増加,CPUクロック上昇,リージョン変更,OSアップグレード,A,スケールアウトはインスタンスを増やす,https://learn.microsoft.com/azure/app-service/overview
11,ID・ガバナンス・監視,Azure ADでオンプレミスADと同期するツールはどれか,Azure AD Connect,Azure Policy,Azure Monitor,Azure Arc,A,Azure AD ConnectはID同期ツール,https://learn.microsoft.com/azure/active-directory/hybrid/whatis-azure-ad-connect
12,ID・ガバナンス・監視,条件付きアクセスの主な目的はどれか,アクセス制御,ネットワーク分離,コスト管理,負荷分散,A,条件付きアクセスはサインイン制御,https://learn.microsoft.com/azure/active-directory/conditional-access/overview
13,ID・ガバナンス・監視,Azure RBACで最小権限を実現する方法はどれか,必要なロールのみ割り当てる,全ユーザーを所有者にする,管理グループを使わない,手動管理,A,最小限の役割付与が原則,https://learn.microsoft.com/azure/role-based-access-control/overview
14,ID・ガバナンス・監視,Azure Policyの用途はどれか,リソースの構成ルール強制,ユーザー認証,トラフィック制御,データ暗号化,A,Policyはガバナンスルールを定義,https://learn.microsoft.com/azure/governance/policy/overview
15,ID・ガバナンス・監視,Azure Monitorが収集するものはどれか,メトリックとログ,ユーザーID,バックアップ,VHD,A,監視データを集約,https://learn.microsoft.com/azure/azure-monitor/overview
16,ID・ガバナンス・監視,Log Analyticsで使うクエリ言語はどれか,KQL,SQL,PowerShell,Python,A,KQLはログ分析専用言語,https://learn.microsoft.com/azure/data-explorer/kusto/query/
